time_s,temperature_C,air_moisture_kgkg,temperature_K
8400,49.915,0.0498,323.065
8460,49.92,0.04973,323.07
8520,50.147,0.0496,323.297
8580,49.967,0.04956,323.117
8640,49.921,0.04988,323.071
8700,49.821,0.04976,322.971
8760,49.856,0.04989,323.006
8820,49.953,0.04949,323.103
8880,49.915,0.04986,323.065
8940,49.708,0.04977,322.858
9000,50.163,0.04981,323.313
9060,50.198,0.05004,323.348
9120,49.82,0.05009,322.97
9180,50.027,0.04976,323.177
9240,49.804,0.04998,322.954
9300,50.086,0.05016,323.236
9360,49.891,0.0499,323.041
9420,50.08,0.04998,323.23
9480,50.113,0.04997,323.263
9540,50.134,0.0499,323.284
9600,49.804,0.05021,322.954
9660,50.208,0.05014,323.358
9720,49.865,0.04981,323.015
9780,49.769,0.05025,322.919
9840,50.027,0.05019,323.177
9900,49.935,0.04989,323.085
9960,50.165,0.05017,323.315
10020,50.154,0.0498,323.304
10080,49.909,0.05025,323.059
10140,50.226,0.05008,323.376
10200,49.895,0.05008,323.045
10260,50.008,0.0498,323.158
10320,49.878,0.0502,323.028
10380,50.218,0.04976,323.368
10440,49.832,0.04987,322.982
10500,49.772,0.04982,322.922
10560,49.968,0.05014,323.118
10620,50.246,0.04985,323.396
10680,50.196,0.05021,323.346
10740,50.124,0.05008,323.274
10800,50.195,0.04977,323.345
10860,50.197,0.04975,323.347
10920,50.009,0.04978,323.159
10980,49.908,0.05005,323.058
11040,50.136,0.05015,323.286
11100,50.081,0.04987,323.231
11160,49.937,0.05017,323.087
11220,49.797,0.04978,322.947
11280,50.123,0.05015,323.273
11340,49.881,0.05021,323.031
11400,50.218,0.05014,323.368
11460,49.87,0.0501,323.02
11520,49.811,0.05017,322.961
11580,50.166,0.04977,323.316
11640,49.827,0.04985,322.977
11700,49.84,0.04981,322.99
11760,50.05,0.05,323.2
11820,50.187,0.05012,323.337
11880,49.848,0.05007,322.998
11940,49.905,0.05018,323.055
12000,50.139,0.04983,323.289
12060,50.236,0.05012,323.386
12120,50,0.04985,323.15
12180,49.822,0.04989,322.972
12240,49.757,0.0501,322.907
12300,49.865,0.05024,323.015
12360,49.816,0.05006,322.966
12420,50.089,0.04978,323.239
12480,49.811,0.05006,322.961
12540,50.003,0.04977,323.153
12600,50.097,0.05019,323.247
12660,50.041,0.0501,323.191
12720,49.85,0.04984,323
12780,50.152,0.0498,323.302
12840,50.108,0.04984,323.258
12900,50.119,0.05024,323.269
12960,49.816,0.04998,322.966
13020,49.812,0.05014,322.962
13080,50.214,0.05007,323.364
13140,49.949,0.05004,323.099
13200,49.9,0.04982,323.05
13260,49.994,0.05022,323.144
13320,50.081,0.0499,323.231
13380,50.228,0.05004,323.378
13440,49.893,0.0501,323.043
13500,50.212,0.05007,323.362
13560,49.762,0.05022,322.912
13620,50.028,0.04982,323.178
13680,50.067,0.05,323.217
13740,49.803,0.04995,322.953
13800,49.82,0.04999,322.97
13860,49.96,0.04981,323.11
13920,50.233,0.04982,323.383
13980,50.048,0.04989,323.198
14040,50.217,0.0499,323.367
14100,50.152,0.04996,323.302
14160,49.984,0.05006,323.134
14220,50.142,0.05007,323.292
14280,49.759,0.04996,322.909
14340,49.805,0.04995,322.955
14400,50.165,0.04986,323.315
